State,Year,State Name,legalWeedStatus,yearly_deaths,yearly_OD_deaths,%OD Deaths,"Deaths  per 100,000 population"
AK,2015.0,Alaska,Fully Legal,50086.0,1472.0,0.029389450145749313,10.0
AK,2016.0,Alaska,Fully Legal,51141.0,1594.0,0.031168729590739328,13.1
AK,2017.0,Alaska,Fully Legal,51597.0,1571.0,0.03044750663798283,13.7
AL,2015.0,Alabama,Fully Illegal,607641.0,8818.0,0.014511858153087103,19.8
AL,2016.0,Alabama,Fully Illegal,608611.0,8324.0,0.01367704494332176,23.8
AL,2017.0,Alabama,Fully Illegal,623769.0,9551.0,0.015311758038632892,21.2
AR,2015.0,Arkansas,Mixed,368117.0,4616.0,0.012539491520359016,19.9
AR,2016.0,Arkansas,Mixed,366574.0,4513.0,0.012311293217740483,21.2
AR,2017.0,Arkansas,Mixed,378076.0,4775.0,0.01262973582031126,19.3
AZ,2015.0,Arizona,Mixed,642297.0,14590.0,0.02271534819561667,13.5
AZ,2016.0,Arizona,Mixed,679217.0,16403.0,0.024149866684726677,14.3
AZ,2017.0,Arizona,Mixed,686329.0,17552.0,0.02557374087354607,14.5
CA,2015.0,California,Fully Legal,3056952.0,56001.0,0.01831922777982775,9.5
CA,2016.0,California,Fully Legal,3139581.0,57154.0,0.018204340005879765,10.6
CA,2017.0,California,Fully Legal,3202053.0,58406.0,0.018240172789144964,10.6
CO,2015.0,Colorado,Fully Legal,441445.0,11091.0,0.025124307671397342,10.8
CO,2016.0,Colorado,Fully Legal,450894.0,11137.0,0.024699818582638047,11.5
CO,2017.0,Colorado,Fully Legal,461701.0,12046.0,0.026090478469832208,12.1
CT,2015.0,Connecticut,Mixed,366126.0,8451.0,0.02308221759722063,8.0
CT,2016.0,Connecticut,Mixed,362773.0,10776.0,0.029704525970786138,8.5
CT,2017.0,Connecticut,Mixed,375123.0,12594.0,0.03357298805991635,8.2
DC,2015.0,District of Columbia,Fully Legal,68282.0,1447.0,0.02119152924636068,6.4
DC,2016.0,District of Columbia,Fully Legal,69250.0,2586.0,0.037342960288808666,5.0
DC,2017.0,District of Columbia,Fully Legal,75096.0,4369.0,0.05817886438691808,4.8
DE,2015.0,Delaware,Mixed,103231.0,2391.0,0.023161647179626276,13.6
DE,2016.0,Delaware,Mixed,103860.0,2724.0,0.026227614095898324,12.3
DE,2017.0,Delaware,Mixed,109046.0,3866.0,0.03545292812207692,13.2
FL,2015.0,Florida,Mixed,2318771.0,36892.0,0.015910152404010572,14.7
FL,2016.0,Florida,Mixed,2360692.0,48380.0,0.02049399074508661,15.7
FL,2017.0,Florida,Mixed,2433010.0,65444.0,0.026898368687346127,15.4
GA,2015.0,Georgia,Mixed,955205.0,15499.0,0.016225836338796384,14.4
GA,2016.0,Georgia,Mixed,969526.0,15538.0,0.016026388152561147,15.8
GA,2017.0,Georgia,Mixed,995416.0,17723.0,0.01780461636140066,14.9
HI,2015.0,Hawaii,Mixed,133348.0,1884.0,0.014128445870954196,7.3
HI,2016.0,Hawaii,Mixed,131591.0,2294.0,0.01743280315523098,9.5
HI,2017.0,Hawaii,Mixed,135848.0,2312.0,0.01701902125905424,7.4
IA,2015.0,Iowa,Mixed,353743.0,3471.0,0.009812208298114734,11.3
IA,2016.0,Iowa,Mixed,347398.0,3725.0,0.01072257180524931,13.7
IA,2017.0,Iowa,Mixed,360641.0,3983.0,0.01104422403442759,12.6
ID,2015.0,Idaho,Fully Illegal,153781.0,2570.0,0.016712077564848712,14.7
ID,2016.0,Idaho,Fully Illegal,157810.0,2623.0,0.01662125340599455,16.1
ID,2017.0,Idaho,Fully Illegal,164151.0,2807.0,0.01710010904593941,15.8
IL,2015.0,Illinois,Mixed,1253456.0,21218.0,0.01692759857545857,8.6
IL,2016.0,Illinois,Mixed,1240690.0,26227.0,0.021139043596708283,9.2
IL,2017.0,Illinois,Mixed,1268097.0,31024.0,0.024465005437281216,9.6
