State,legalWeedStatus
Alabama,Fully Illegal
Alaska,Fully Legal
Arizona,Mixed
Arkansas,Mixed
California,Fully Legal
Colorado,Fully Legal
Connecticut,Mixed
Delaware,Mixed
District of Columbia,Fully Legal
Florida,Mixed
Georgia,Mixed
Hawaii,Mixed
Idaho,Fully Illegal
Illinois,Mixed
Indiana,Mixed
Iowa,Mixed
Kansas,Fully Illegal
Kentucky,Fully Illegal
Louisiana,Mixed
Maine,Fully Legal
Maryland,Mixed
Massachusetts,Fully Legal
Michigan,Fully Legal
Minnesota,Mixed
Mississippi,Fully Illegal
Missouri,Mixed
Montana,Mixed
Nebraska,Fully Illegal
Nevada,Fully Legal
New Hampshire,Mixed
New Jersey,Mixed
New Mexico,Mixed
New York,Mixed
North Carolina,Fully Illegal
North Dakota,Mixed
Ohio,Mixed
Oklahoma,Mixed
Oregon,Fully Legal
Pennsylvania,Mixed
Rhode Island,Mixed
South Carolina,Fully Illegal
South Dakota,Fully Illegal
Tennessee,Fully Illegal
Texas,Mixed
Utah,Mixed
Vermont,Fully Legal
Virginia,Mixed
Washington,Fully Legal
West Virginia,Mixed
Wisconsin,Fully Illegal
Wyoming,Fully Illegal
