legalWeedStatus,State,Year,MV_Deaths,Total_Deaths,Total_OD_Deaths,OverdosePercent,MVPercent
Fully Illegal,Alabama,2015,849,607641.0,8818.0,0.014511858153087103,0.0013972065742765877
Fully Illegal,Alabama,2016,1122,608611.0,8324.0,0.01367704494332176,0.001843542098318959
Fully Illegal,Alabama,2017,948,623769.0,9551.0,0.015311758038632892,0.0015197933850511968
Fully Illegal,Idaho,2015,216,153781.0,2570.0,0.016712077564848712,0.0014045948459172459
Fully Illegal,Idaho,2016,266,157810.0,2623.0,0.01662125340599455,0.0016855712565743617
Fully Illegal,Idaho,2017,244,164151.0,2807.0,0.01710010904593941,0.0014864362690449647
Fully Illegal,Kansas,2015,355,307848.0,3926.0,0.012753046958239131,0.0011531664977521374
Fully Illegal,Kansas,2016,415,304518.0,3774.0,0.012393356057769984,0.0013628094234166782
Fully Illegal,Kansas,2017,461,312793.0,3771.0,0.012055896391543289,0.0014738181481043374
Fully Illegal,Kentucky,2015,761,550060.0,14286.0,0.025971712176853436,0.0013834854379522234
Fully Illegal,Kentucky,2016,806,559117.0,16155.0,0.02889377357511934,0.0014415587435187983
Fully Illegal,Kentucky,2017,782,576429.0,18737.0,0.03250530420919142,0.0013566284832997645
Fully Illegal,Mississippi,2015,677,367785.0,3907.0,0.010623054230052885,0.0018407493508435634
Fully Illegal,Mississippi,2016,737,369589.0,3933.0,0.010641550479045643,0.00199410696746927
Fully Illegal,Mississippi,2017,690,372827.0,3911.0,0.010490120082504753,0.0018507243305876451
Fully Illegal,Nebraska,2015,246,201792.0,1547.0,0.007666309863621947,0.0012190770694576593
Fully Illegal,Nebraska,2016,222,196435.0,1425.0,0.0072543080408277545,0.0011301448316236922
Fully Illegal,Nebraska,2017,228,203750.0,1512.0,0.007420858895705522,0.0011190184049079755
Fully Illegal,North Carolina,2015,1379,1069879.0,17006.0,0.015895255444774596,0.0012889308043246013
Fully Illegal,North Carolina,2016,1505,1082087.0,21361.0,0.01974055690531353,0.0013908308666493545
Fully Illegal,North Carolina,2017,1412,1115542.0,26214.0,0.023498891121983754,0.0012657524324498765
Fully Illegal,South Carolina,2015,977,551089.0,8692.0,0.015772406997780757,0.0017728533866580535
Fully Illegal,South Carolina,2016,1013,558101.0,9569.0,0.01714564209703978,0.0018150836497336504
Fully Illegal,South Carolina,2017,988,572389.0,11678.0,0.020402208987244687,0.0017260988593421607
Fully Illegal,South Dakota,2015,133,93947.0,727.0,0.0077384056968290635,0.001415691826242456
