,State,legalWeedStatus
0,Alabama,Fully Illegal
1,Alaska,Fully Legal
2,Arizona,Mixed
3,Arkansas,Mixed
4,California,Fully Legal
5,Colorado,Fully Legal
6,Connecticut,Mixed
7,Delaware,Mixed
8,District of Columbia,Fully Legal
9,Florida,Mixed
10,Georgia,Mixed
11,Hawaii,Mixed
12,Idaho,Fully Illegal
13,Illinois,Mixed
14,Indiana,Mixed
15,Iowa,Mixed
16,Kansas,Fully Illegal
17,Kentucky,Fully Illegal
18,Louisiana,Mixed
19,Maine,Fully Legal
20,Maryland,Mixed
21,Massachusetts,Fully Legal
22,Michigan,Fully Legal
23,Minnesota,Mixed
24,Mississippi,Fully Illegal
25,Missouri,Mixed
26,Montana,Mixed
27,Nebraska,Fully Illegal
28,Nevada,Fully Legal
29,New Hampshire,Mixed
30,New Jersey,Mixed
31,New Mexico,Mixed
32,New York,Mixed
33,North Carolina,Fully Illegal
34,North Dakota,Mixed
35,Ohio,Mixed
36,Oklahoma,Mixed
37,Oregon,Fully Legal
38,Pennsylvania,Mixed
39,Rhode Island,Mixed
40,South Carolina,Fully Illegal
41,South Dakota,Fully Illegal
42,Tennessee,Fully Illegal
43,Texas,Mixed
44,Utah,Mixed
45,Vermont,Fully Legal
46,Virginia,Mixed
47,Washington,Fully Legal
48,West Virginia,Mixed
49,Wisconsin,Fully Illegal
50,Wyoming,Fully Illegal
